Designator,Mid X,Mid Y,Rotation,Layer
BATERIA1,101.219,-92.21,0.0,top
BUZZER1,100.877031,-44.6802,0.0,top
C1,69.898801,-97.68,0.0,top
C2,69.898801,-103.23,0.0,top
CARGA1,101.131031,-105.3942,0.0,top
ESP1,70.719,-70.0,0.0,top
FLASCH1,59.983031,-100.3602,0.0,top
INTERRUPTOR1,101.219,-98.433,0.0,top
MH-CD1,85.217,-109.228,0.0,top
MOTOR1,100.877031,-56.1102,0.0,top
MOTOR2,99.949,-68.819,0.0,top
Q1,97.79,-39.669806,180.0,top
R1,74.169,-97.5886,0.0,top
R2,74.169,-101.0222,0.0,top
R3,93.3212,-38.4032,180.0,top
RESET1,59.983031,-106.9642,0.0,top
SENSOR_ULTRASONIDO1,92.7084,-76.2,0.0,top
SERVOMOTOR1,108.81,-78.73,180.0,top
U1,90.17,-49.53,0.0,top
led1,91.44,-71.12,180.0,top
